# Zeit (s)	# Kanal 1 (V)	# D0-D7	
-0.01405	5.0625	149
-0.014	5	149
-0.01395	5	157
-0.0139	4.9375	153
-0.01385	5	153
-0.0138	5	153
-0.01375	5	159
-0.0137	5	158
-0.01365	5.0625	158
-0.0136	5	190
-0.01355	5	162
-0.0135	5	162
-0.01345	5	166
-0.0134	5	166
-0.01335	5	166
-0.0133	5	175
-0.01325	5	169
-0.0132	5	169
-0.01315	5	169
-0.0131	5	173
-0.01305	5	173
-0.013	5	173
-0.01295	5	175
-0.0129	5	175
-0.01285	5.0625	175
-0.0128	5	191
-0.01275	5	177
-0.0127	5	177
-0.01265	4.9375	179
-0.0126	4.9375	179
-0.01255	5	179
-0.0125	5	179
-0.01245	5	183
-0.0124	5	180
-0.01235	5	180
-0.0123	5.0625	180
-0.01225	4.9375	180
-0.0122	5	180
-0.01215	5	180
-0.0121	4.9375	180
-0.01205	5	180
-0.012	5	180
-0.01195	5	180
-0.0119	5	180
-0.01185	5	180
-0.0118	5.0625	183
-0.01175	5	179
-0.0117	5	179
-0.01165	5	179
-0.0116	5	177
-0.01155	5.0625	177
-0.0115	5	177
-0.01145	5	176
-0.0114	5	176
-0.01135	5	176
-0.0113	5	188
-0.01125	5	172
-0.0112	4.9375	172
-0.01115	5	172
-0.0111	5	168
-0.01105	5	168
-0.011	5	173
-0.01095	5.0625	165
-0.0109	5	165
-0.01085	5	165
-0.0108	5	161
-0.01075	5	161
-0.0107	5	161
-0.01065	5	189
-0.0106	5	157
-0.01055	5	157
-0.0105	5	157
-0.01045	4.9375	152
-0.0104	5	152
-0.01035	4.9375	156
-0.0103	5	148
-0.01025	5	148
-0.0102	5	148
-0.01015	5.0625	148
-0.0101	5	144
-0.01005	5	144
-0.01	5.0625	153
-0.00995	5	137
-0.0099	5.0625	137
-0.00985	5	141
-0.0098	5	132
-0.00975	5	132
-0.0097	4.9375	132
-0.00965	5	128
-0.0096	5	128
-0.00955	5	128
-0.0095	5	250
-0.00945	5	122
-0.0094	5	122
-0.00935	5	126
-0.0093	5	116
-0.00925	5	116
-0.0092	5	116
-0.00915	5	112
-0.0091	5	112
-0.00905	5.0625	122
-0.009	4.8125	106
-0.00895	5	106
-0.0089	5	106
-0.00885	5	111
-0.0088	4.9375	101
-0.00875	5.0625	101
-0.0087	5	101
-0.00865	5	97
-0.0086	5.0625	97
-0.00855	5.0625	125
-0.0085	5	93
-0.00845	5	93
-0.0084	5	93
-0.00835	4.9375	93
-0.0083	4.9375	89
-0.00825	5	89
-0.0082	5.0625	95
-0.00815	5	86
-0.0081	5	86
-0.00805	5.0625	86
-0.008	5.0625	84
-0.00795	5	84
-0.0079	5	85
-0.00785	5	81
-0.0078	5.0625	81
-0.00775	5	81
-0.0077	5	95
-0.00765	5	79
-0.0076	5	79
-0.00755	5.0625	79
-0.0075	5	78
-0.00745	5	78
-0.0074	5	79
-0.00735	5.0625	77
-0.0073	5	77
-0.00725	5	77
-0.0072	3.5625	76
-0.00715	5	76
-0.0071	5.0625	76
-0.00705	4.9375	77
-0.007	5	77
-0.00695	5	77
-0.0069	5	79
-0.00685	5	78
-0.0068	5.0625	78
-0.00675	5	79
-0.0067	5	79
-0.00665	5	79
-0.0066	5	79
-0.00655	5	95
-0.0065	5	81
-0.00645	5	81
-0.0064	4.9375	83
-0.00635	5.0625	83
-0.0063	5.0625	83
-0.00625	5	87
-0.0062	5	86
-0.00615	5	86
-0.0061	5.0625	95
-0.00605	5	89
-0.006	5	89
-0.00595	5	89
-0.0059	5	93
-0.00585	5	93
-0.0058	5	93
-0.00575	5	125
-0.0057	5	97
-0.00565	5.0625	97
-0.0056	5.0625	103
-0.00555	5	102
-0.0055	5	102
-0.00545	5	111
-0.0054	4.4375	107
-0.00535	5	107
-0.0053	5	107
-0.00525	5	111
-0.0052	5	111
-0.00515	5	111
-0.0051	5	127
-0.00505	5	117
-0.005	5	117
-0.00495	5	127
-0.0049	5	123
-0.00485	5	123
-0.0048	5	123
-0.00475	5	127
-0.0047	5.0625	127
-0.00465	5	127
-0.0046	5	255
-0.00455	5	133
-0.0045	4.9375	133
-0.00445	5.0625	141
-0.0044	5	137
-0.00435	5	137
-0.0043	5	143
-0.00425	5	143
-0.0042	5	143
-0.00415	5	143
-0.0041	4.9375	159
-0.00405	5	147
-0.004	5	147
-0.00395	5	155
-0.0039	5	153
-0.00385	5	153
-0.0038	5.0625	157
-0.00375	5	157
-0.0037	4.9375	157
-0.00365	5	191
-0.0036	4	162
-0.00355	5	162
-0.0035	5	162
-0.00345	5	166
-0.0034	5	166
-0.00335	5.0625	166
-0.0033	5.0625	175
-0.00325	5	169
-0.0032	5.0625	169
-0.00315	5	173
-0.0031	4.9375	172
-0.00305	5.0625	172
-0.003	5	172
-0.00295	5	175
-0.0029	5	175
-0.00285	5	175
-0.0028	5	191
-0.00275	5	177
-0.0027	5	177
-0.00265	5	179
-0.0026	5	179
-0.00255	5	179
-0.0025	4.9375	183
-0.00245	5.0625	180
-0.0024	5	180
-0.00235	5	180
-0.0023	5.0625	180
-0.00225	5	180
-0.0022	5.0625	180
-0.00215	5	180
-0.0021	5	180
-0.00205	5	180
-0.002	5	180
-0.00195	5.0625	180
-0.0019	5.0625	180
-0.00185	5	183
-0.0018	4.0625	179
-0.00175	5	179
-0.0017	5.0625	179
-0.00165	5.0625	179
-0.0016	5.0625	177
-0.00155	5.0625	177
-0.0015	5	177
-0.00145	4.9375	176
-0.0014	5	176
-0.00135	4.9375	188
-0.0013	5	172
-0.00125	5	172
-0.0012	5	172
-0.00115	5.0625	173
-0.0011	5	169
-0.00105	5	169
-0.001	5	175
-0.00095	5	166
-0.0009	5	166
-0.00085	5.0625	166
-0.0008	5	162
-0.00075	5.0625	162
-0.0007	5	162
-0.00065	5	160
-0.0006	5	160
-0.00055	5	160
-0.0005	5	184
-0.00045	5	152
-0.0004	5	152
-0.00035	5	156
-0.0003	5	148
-0.00025	5.0625	148
-0.0002	5	148
-0.00015	5	144
-0.0001	5	144
-0.00005	5	154
-0.0000000000000000171304	2	138
0.00005	5	138
0.0001	5.0625	138
0.00015	5	142
0.0002	5.0625	132
0.00025	5.0625	132
0.0003	5	132
0.00035	5	128
0.0004	4.9375	128
0.00045	5	250
0.0005	5	122
0.00055	5.0625	122
0.0006	5	122
0.00065	4.9375	126
0.0007	5	116
0.00075	4.9375	116
0.0008	5	116
0.00085	4.9375	112
0.0009	4.9375	112
0.00095	5	122
0.001	5	106
0.00105	5	106
0.0011	5.0625	110
0.00115	4.9375	102
0.0012	5	102
0.00125	5.0625	102
0.0013	5	102
0.00135	5	98
0.0014	5	98
0.00145	5	127
0.0015	5	93
0.00155	5	93
0.0016	5	95
0.00165	5.0625	90
0.0017	5	90
0.00175	5	94
0.0018	2.5625	86
0.00185	5	86
0.0019	5	86
0.00195	5	86
0.002	5	84
0.00205	5.0625	84
0.0021	5	85
0.00215	5	81
0.0022	5	81
0.00225	5	81
0.0023	5	80
0.00235	5.0625	80
0.0024	5.0625	80
0.00245	5.0625	94
0.0025	5.0625	78
0.00255	5	78
0.0026	4.9375	79
0.00265	5	77
0.0027	5	77
0.00275	5	77
0.0028	5	76
0.00285	5	76
0.0029	5	77
0.00295	5.0625	77
0.003	5	77
0.00305	5	77
0.0031	5	77
0.00315	5	77
0.0032	5.0625	77
0.00325	4.9375	79
0.0033	5	79
0.00335	5	79
0.0034	5	95
0.00345	5	81
0.0035	5	81
0.00355	5	83
0.0036	0.8125	83
0.00365	5	83
0.0037	4.9375	83
0.00375	5.0625	87
0.0038	5	86
0.00385	5.0625	86
0.0039	5	95
0.00395	5	89
0.004	5	89
0.00405	5	93
0.0041	5.0625	93
0.00415	5	93
0.0042	5.0625	93
0.00425	5.0625	95
0.0043	5	95
0.00435	5.0625	95
0.0044	5.0625	127
0.00445	5	101
0.0045	5.0625	101
0.00455	5.0625	111
0.0046	5	107
0.00465	5	107
0.0047	5	111
0.00475	5	111
0.0048	5	111
0.00485	5	111
0.0049	5	127
0.00495	5	115
0.005	5.0625	115
0.00505	5	123
0.0051	5	121
0.00515	5	121
0.0052	4.9375	127
0.00525	5.0625	127
0.0053	5	127
0.00535	4.9375	255
0.0054	1.5625	131
0.00545	5.0625	131
0.0055	5	131
0.00555	5.0625	139
0.0056	5	137
0.00565	4.9375	137
0.0057	5	143
0.00575	5	143
0.0058	5	143
0.00585	5	159
0.0059	5	147
0.00595	5.0625	147
0.006	5	147
0.00605	5	151
0.0061	5	151
0.00615	5	151
0.0062	5	159
0.00625	5	157
0.0063	5	157
0.00635	5	159
0.0064	5	159
0.00645	4.9375	159
0.0065	5	191
0.00655	5.0625	165
0.0066	5	165
0.00665	5	165
0.0067	5	173
0.00675	5	169
0.0068	4.9375	169
0.00685	5	173
0.0069	4.9375	172
0.00695	5.0625	172
0.007	5	175
0.00705	5	175
0.0071	5	175
0.00715	5	191
0.0072	0.5	177
0.00725	5	177
0.0073	5	177
0.00735	5	179
0.0074	5	179
0.00745	5	179
0.0075	5	183
0.00755	5	180
0.0076	5	180
0.00765	4.9375	180
0.0077	4.9375	180
0.00775	5	180
0.0078	5	180
0.00785	5	180
0.0079	5	180
0.00795	5	180
0.008	5	180
0.00805	5	180
0.0081	5	180
0.00815	5	183
0.0082	5.0625	179
0.00825	5	179
0.0083	5	179
0.00835	5.0625	177
0.0084	5	177
0.00845	5	177
0.0085	5.0625	177
0.00855	5	176
0.0086	5	176
0.00865	5	188
0.0087	5.0625	172
0.00875	5	172
0.0088	5	174
0.00885	5	170
0.0089	5	170
0.00895	5.0625	174
0.009	0.1875	166
0.00905	5	166
0.0091	5	166
0.00915	5	166
0.0092	4.9375	162
0.00925	5	162
0.0093	5.0625	162
0.00935	5	160
0.0094	5	160
0.00945	5	185
0.0095	5	153
0.00955	5	153
0.0096	5	153
0.00965	5	157
0.0097	5	148
0.00975	5	148
0.0098	5	148
0.00985	5	144
0.0099	5	144
0.00995	5	154
0.01	5.0625	138
0.01005	5	138
0.0101	5	143
0.01015	5	133
0.0102	5.0625	133
0.01025	5	133
0.0103	5	133
0.01035	5	128
0.0104	5	128
0.01045	5	250
0.0105	4.9375	122
0.01055	5	122
0.0106	5	126
0.01065	5	118
0.0107	5	118
0.01075	5.0625	118
0.0108	0.875	112
0.01085	5.0625	112
0.0109	5	112
0.01095	5.0625	124
0.011	5	108
0.01105	5	108
0.0111	5	108
0.01115	5	104
0.0112	5	104
0.01125	5	106
0.0113	5	98
0.01135	5.0625	98
0.0114	5	98
0.01145	5	98
0.0115	5	96
0.01155	5	96
0.0116	5	122
0.01165	5	90
0.0117	5	90
0.01175	5	94
0.0118	5	86
0.01185	4.9375	86
0.0119	5.0625	86
0.01195	5	84
0.012	5	84
0.01205	5	84
0.0121	5	85
0.01215	5	81
0.0122	5	81
0.01225	5	81
0.0123	5	80
0.01235	5	80
0.0124	5	94
0.01245	4.9375	78
0.0125	5	78
0.01255	5	79
0.0126	0.0625	77
0.01265	5	77
0.0127	5	77
0.01275	5.0625	77
0.0128	5	76
0.01285	5	76
0.0129	4.9375	77
0.01295	5	77
0.013	4.9375	77
0.01305	5	77
0.0131	5.0625	77
0.01315	5	77
0.0132	5.0625	77
0.01325	5	79
0.0133	4.9375	79
0.01335	5	79
0.0134	5	95
0.01345	5	81
0.0135	5.0625	81
0.01355	5	83
0.0136	5	83
0.01365	5	83
0.0137	5	87
0.01375	5	86
0.0138	5.0625	86
0.01385	5	86
0.0139	5	95
0.01395	5	89
0.014	5	89
0.01405	5	93
0.0141	5	92
0.01415	5	92
0.0142	5	95
0.01425	5	95
0.0143	5	95
0.01435	5	127
0.0144	0.0625	101
0.01445	5	101
0.0145	5	101
0.01455	4.9375	109
0.0146	5.0625	105
0.01465	5	105
0.0147	5	111
0.01475	5	111
0.0148	4.9375	111
0.01485	5	127
0.0149	5	115
0.01495	4.9375	115
0.015	5	115
0.01505	5	123
0.0151	5.0625	121
0.01515	5	121
0.0152	5	127
0.01525	5	127
0.0153	5	127
0.01535	5	255
0.0154	4.9375	131
0.01545	5.0625	131
0.0155	5	135
0.01555	5	135
0.0156	5	135
0.01565	5	135
0.0157	5	143
0.01575	5.0625	142
0.0158	5	142
0.01585	5.0625	159
0.0159	5	147
0.01595	5	147
0.016	5.0625	151
0.01605	5	151
0.0161	5	151
0.01615	5	151
0.0162	0.125	159
0.01625	5	155
0.0163	4.9375	155
0.01635	5	159
0.0164	5	159
0.01645	5	159
0.0165	5	191
0.01655	5	165
0.0166	5	165
0.01665	5	173
0.0167	5	169
0.01675	5	169
0.0168	5	169
0.01685	5.0625	171
0.0169	5	171
0.01695	5.0625	171
0.017	5	175
0.01705	4.9375	174
0.0171	5	174
0.01715	5	191
0.0172	5	177
0.01725	5	177
0.0173	5	179
0.01735	5	179
0.0174	5	179
0.01745	5	179
0.0175	5	179
0.01755	5	179
0.0176	4.9375	179
0.01765	5	183
0.0177	5	180
0.01775	5	180
0.0178	5.0625	180
0.01785	5	180
0.0179	5	180
0.01795	5	180
0.018	0.375	180
0.01805	5.0625	180
0.0181	5	180
0.01815	5	183
0.0182	5	179
0.01825	5	179
0.0183	5	179
0.01835	5	178
0.0184	5	178
0.01845	5	178
0.0185	5	176
0.01855	5	176
0.0186	5	176
0.01865	5	189
0.0187	5	173
0.01875	5	173
0.0188	4.9375	175
0.01885	5	170
0.0189	5.0625	170
0.01895	5	174
0.019	5	166
0.01905	5	166
0.0191	5	166
0.01915	5	162
0.0192	5	162
0.01925	5	162
0.0193	5	162
0.01935	5	160
0.0194	5	160
0.01945	5	186
0.0195	5	154
0.01955	5	154
0.0196	5.0625	159
0.01965	5	149
0.0197	5.0625	149
0.01975	5	149
0.0198	2.0625	149
0.01985	5	144
0.0199	5	144
0.01995	5	156
0.02	5	140
0.02005	5.0625	140
0.0201	5	142
0.02015	5.0625	134
0.0202	5	134
0.02025	5	134
0.0203	5	128
0.02035	5	128
0.0204	5.0625	128
0.02045	5	252
0.0205	5.0625	124
0.02055	5.0625	124
0.0206	5	126
0.02065	5	118
0.0207	5	118
0.02075	5.0625	118
0.0208	5.0625	112
0.02085	5	112
0.0209	5	124
0.02095	5	108
0.021	5	108
0.02105	5	108
0.0211	5.0625	108
0.02115	4.9375	104
0.0212	5.0625	104
0.02125	5	106
0.0213	4.9375	98
0.02135	5	98
0.0214	4.9375	98
0.02145	5	96
0.0215	5	96
0.02155	5	96
0.0216	3.9375	122
0.02165	4.9375	90
0.0217	5	90
0.02175	5	90
0.0218	5.0625	88
0.02185	5	88
0.0219	5	92
0.02195	5	84
0.022	5.0625	84
0.02205	5	85
0.0221	5	81
0.02215	5	81
0.0222	5	81
0.02225	5.0625	81
0.0223	5.0625	80
0.02235	5	80
0.0224	5	94
0.02245	4.9375	78
0.0225	5	78
0.02255	5.0625	79
0.0226	5	77
0.02265	5.0625	77
0.0227	5	77
0.02275	5	76
0.0228	5	76
0.02285	5	76
0.0229	4.9375	77
0.02295	5	77
0.023	5	77
0.02305	5	77
0.0231	5	77
0.02315	5	77
0.0232	4.9375	79
0.02325	5	79
0.0233	5	79
0.02335	5	95
0.0234	4.5625	95
0.02345	5	80
0.0235	5	80
0.02355	5	83
0.0236	5	83
0.02365	5.0625	83
0.0237	5	87
0.02375	5	85
0.0238	5	85
0.02385	5	93
0.0239	5	89
0.02395	5	89
0.024	5	89
0.02405	4.9375	91
0.0241	5	91
0.02415	5	91
0.0242	5	95
0.02425	5	95
0.0243	4.9375	95
0.02435	5.0625	127
0.0244	5	101
0.02445	5	101
0.0245	5	109
0.02455	5	105
0.0246	5	105
0.02465	5	105
0.0247	5	111
0.02475	5	110
0.0248	5.0625	110
0.02485	5	127
0.0249	5.0625	115
0.02495	5	115
